county_id,county_name,2012,2016,2017,2018,2019,2020
1,Anderson,0.036,0.043,0.037,0.031,0.029,0.056
2,Andrews,0.031,0.047,0.031,0.024,0.023,0.082
3,Angelina,0.051,0.059,0.051,0.044,0.04,0.076
4,Aransas,0.068,0.056,0.069,0.06,0.043,0.085
5,Archer,0.034,0.043,0.034,0.031,0.028,0.053
6,Armstrong,0.025,0.028,0.026,0.027,0.027,0.043
7,Atascosa,0.042,0.053,0.043,0.038,0.036,0.084
8,Austin,0.043,0.053,0.044,0.037,0.034,0.066
9,Bailey,0.043,0.044,0.043,0.044,0.037,0.048
10,Bandera,0.036,0.041,0.036,0.034,0.033,0.058
11,Bastrop,0.035,0.037,0.036,0.034,0.031,0.06
12,Baylor,0.034,0.036,0.034,0.032,0.023,0.035
13,Bee,0.064,0.075,0.065,0.051,0.044,0.098
14,Bell,0.042,0.045,0.043,0.042,0.038,0.07
15,Bexar,0.035,0.038,0.036,0.034,0.031,0.075
16,Blanco,0.027,0.031,0.028,0.026,0.024,0.038
17,Borden,0.035,0.036,0.037,0.032,0.025,0.033
18,Bosque,0.04,0.043,0.04,0.037,0.034,0.055
19,Bowie,0.045,0.047,0.046,0.05,0.044,0.074
20,Brazoria,0.053,0.052,0.053,0.046,0.042,0.086
21,Brazos,0.031,0.035,0.031,0.029,0.027,0.053
22,Brewster,0.035,0.038,0.035,0.034,0.029,0.067
23,Briscoe,0.043,0.044,0.043,0.039,0.036,0.048
24,Brooks,0.082,0.118,0.083,0.064,0.051,0.107
25,Brown,0.038,0.044,0.039,0.037,0.037,0.065
26,Burleson,0.041,0.047,0.042,0.036,0.031,0.063
27,Burnet,0.032,0.035,0.032,0.029,0.027,0.047
28,Caldwell,0.039,0.043,0.039,0.037,0.034,0.063
29,Calhoun,0.058,0.056,0.058,0.041,0.032,0.058
30,Callahan,0.037,0.043,0.037,0.034,0.031,0.054
31,Cameron,0.069,0.072,0.07,0.062,0.055,0.102
32,Camp,0.056,0.069,0.057,0.049,0.042,0.074
33,Carson,0.032,0.033,0.032,0.028,0.026,0.042
34,Cass,0.06,0.072,0.06,0.051,0.043,0.079
35,Castro,0.033,0.031,0.033,0.029,0.028,0.036
36,Chambers,0.065,0.061,0.065,0.054,0.045,0.095
37,Cherokee,0.045,0.051,0.046,0.041,0.038,0.079
38,Childress,0.03,0.03,0.03,0.026,0.027,0.037
39,Clay,0.036,0.044,0.035,0.032,0.031,0.055
40,Cochran,0.046,0.05,0.046,0.044,0.035,0.071
41,Coke,0.037,0.041,0.037,0.034,0.032,0.055
42,Coleman,0.044,0.058,0.045,0.039,0.041,0.074
43,Collin,0.034,0.035,0.035,0.033,0.031,0.063
44,Collingsworth,0.036,0.035,0.036,0.031,0.031,0.043
45,Colorado,0.038,0.047,0.04,0.033,0.031,0.056
46,Comal,0.034,0.036,0.034,0.032,0.03,0.062
47,Comanche,0.037,0.043,0.037,0.036,0.032,0.055
48,Concho,0.042,0.034,0.042,0.036,0.032,0.045
49,Cooke,0.036,0.04,0.036,0.031,0.028,0.071
50,Coryell,0.043,0.047,0.044,0.042,0.04,0.066
51,Cottle,0.043,0.051,0.042,0.043,0.042,0.049
52,Crane,0.053,0.086,0.053,0.039,0.04,0.136
53,Crockett,0.041,0.075,0.041,0.029,0.029,0.089
54,Crosby,0.041,0.044,0.042,0.047,0.039,0.052
55,Culberson,0.036,0.041,0.037,0.031,0.041,0.065
56,Dallam,0.021,0.022,0.022,0.021,0.02,0.028
57,Dallas,0.038,0.04,0.039,0.038,0.035,0.077
58,Dawson,0.049,0.05,0.049,0.043,0.039,0.087
59,Deaf Smith,0.031,0.031,0.031,0.028,0.027,0.036
60,Delta,0.033,0.038,0.034,0.035,0.034,0.055
61,Denton,0.033,0.034,0.034,0.032,0.03,0.065
62,DeWitt,0.044,0.055,0.044,0.031,0.026,0.06
63,Dickens,0.047,0.049,0.049,0.043,0.043,0.063
64,Dimmit,0.051,0.071,0.051,0.03,0.025,0.064
65,Donley,0.036,0.04,0.037,0.035,0.034,0.044
66,Duval,0.077,0.109,0.077,0.053,0.044,0.121
67,Eastland,0.043,0.055,0.043,0.034,0.033,0.067
68,Ector,0.041,0.064,0.041,0.027,0.027,0.11
69,Edwards,0.032,0.046,0.032,0.028,0.023,0.035
70,Ellis,0.046,0.038,0.035,0.033,0.031,0.06
71,El Paso,0.034,0.05,0.047,0.042,0.038,0.083
72,Erath,0.034,0.041,0.034,0.031,0.032,0.057
73,Falls,0.042,0.044,0.043,0.039,0.033,0.06
74,Fannin,0.033,0.038,0.034,0.031,0.027,0.047
75,Fayette,0.032,0.037,0.032,0.028,0.026,0.047
76,Fisher,0.035,0.043,0.036,0.032,0.029,0.045
77,Floyd,0.055,0.05,0.055,0.052,0.044,0.062
78,Foard,0.034,0.037,0.035,0.029,0.029,0.042
79,Fort Bend,0.046,0.05,0.047,0.04,0.035,0.077
80,Franklin,0.046,0.049,0.047,0.042,0.036,0.053
81,Freestone,0.063,0.067,0.064,0.059,0.048,0.083
82,Frio,0.038,0.049,0.04,0.029,0.026,0.057
83,Gaines,0.03,0.037,0.031,0.026,0.024,0.056
84,Galveston,0.052,0.053,0.053,0.047,0.04,0.087
85,Garza,0.033,0.039,0.033,0.03,0.026,0.068
86,Gillespie,0.026,0.028,0.026,0.026,0.024,0.048
87,Glasscock,0.026,0.039,0.027,0.021,0.023,0.036
88,Goliad,0.049,0.058,0.049,0.038,0.034,0.077
89,Gonzales,0.035,0.042,0.035,0.03,0.027,0.054
90,Gray,0.053,0.069,0.053,0.039,0.036,0.081
91,Grayson,0.035,0.039,0.036,0.033,0.031,0.059
92,Gregg,0.051,0.061,0.052,0.041,0.037,0.083
93,Grimes,0.053,0.066,0.054,0.041,0.04,0.08
94,Guadalupe,0.033,0.036,0.034,0.032,0.03,0.061
95,Hale,0.051,0.056,0.052,0.048,0.044,0.068
96,Hall,0.062,0.067,0.062,0.044,0.041,0.058
97,Hamilton,0.039,0.049,0.04,0.033,0.03,0.045
98,Hansford,0.025,0.031,0.026,0.023,0.023,0.035
99,Hardeman,0.039,0.039,0.04,0.036,0.03,0.044
100,Hardin,0.061,0.061,0.062,0.052,0.046,0.09
101,Harris,0.05,0.053,0.051,0.044,0.039,0.089
102,Harrison,0.052,0.06,0.053,0.044,0.04,0.079
103,Hartley,0.02,0.02,0.02,0.018,0.016,0.021
104,Haskell,0.047,0.042,0.048,0.039,0.032,0.043
105,Hays,0.031,0.033,0.032,0.03,0.028,0.063
106,Hemphill,0.025,0.037,0.025,0.021,0.026,0.044
107,Henderson,0.042,0.047,0.042,0.038,0.035,0.064
108,Hidalgo,0.074,0.078,0.075,0.066,0.063,0.116
109,Hill,0.039,0.044,0.04,0.037,0.033,0.063
110,Hockley,0.037,0.047,0.037,0.031,0.029,0.079
111,Hood,0.042,0.047,0.042,0.037,0.034,0.066
112,Hopkins,0.036,0.04,0.036,0.034,0.031,0.051
113,Houston,0.042,0.046,0.044,0.037,0.031,0.053
114,Howard,0.043,0.055,0.043,0.033,0.031,0.081
115,Hudspeth,0.06,0.06,0.058,0.046,0.044,0.08
116,Hunt,0.039,0.043,0.04,0.038,0.036,0.065
117,Hutchinson,0.06,0.056,0.061,0.05,0.044,0.072
118,Irion,0.03,0.032,0.032,0.031,0.024,0.06
119,Jack,0.037,0.05,0.037,0.025,0.031,0.07
120,Jackson,0.04,0.047,0.04,0.033,0.03,0.058
121,Jasper,0.074,0.077,0.075,0.066,0.061,0.112
122,Jeff Davis,0.031,0.03,0.032,0.029,0.03,0.051
123,Jefferson,0.073,0.07,0.074,0.064,0.058,0.119
124,Jim Hogg,0.072,0.096,0.073,0.057,0.048,0.095
125,Jim Wells,0.075,0.106,0.076,0.055,0.047,0.13
126,Johnson,0.038,0.044,0.038,0.035,0.032,0.065
127,Jones,0.053,0.058,0.054,0.048,0.042,0.07
128,Karnes,0.035,0.049,0.035,0.029,0.025,0.063
129,Kaufman,0.035,0.038,0.036,0.035,0.032,0.065
130,Kendall,0.031,0.032,0.031,0.029,0.027,0.05
131,Kenedy,0.033,0.046,0.033,0.037,0.035,0.054
132,Kent,0.026,0.03,0.026,0.024,0.023,0.039
133,Kerr,0.034,0.036,0.034,0.032,0.029,0.059
134,Kimble,0.035,0.038,0.035,0.03,0.03,0.051
135,King,0.037,0.039,0.036,0.028,0.021,0.017
136,Kinney,0.055,0.058,0.056,0.044,0.036,0.06
137,Kleberg,0.059,0.067,0.06,0.05,0.043,0.084
138,Knox,0.04,0.042,0.04,0.036,0.032,0.056
139,Lamar,0.037,0.046,0.042,0.038,0.034,0.065
140,Lamb,0.042,0.065,0.052,0.044,0.038,0.052
141,Lampasas,0.052,0.042,0.038,0.038,0.033,0.054
142,La Salle,0.037,0.051,0.037,0.024,0.024,0.068
143,Lavaca,0.036,0.042,0.036,0.031,0.03,0.052
144,Lee,0.033,0.038,0.033,0.031,0.026,0.049
145,Leon,0.063,0.065,0.064,0.05,0.044,0.078
146,Liberty,0.071,0.075,0.072,0.058,0.05,0.106
147,Limestone,0.055,0.056,0.056,0.047,0.038,0.071
148,Lipscomb,0.032,0.044,0.032,0.027,0.026,0.042
149,Live Oak,0.047,0.059,0.047,0.038,0.031,0.075
150,Llano,0.037,0.042,0.038,0.037,0.035,0.057
151,Loving,0.05,0.047,0.05,0.015,0.008,0.017
152,Lubbock,0.032,0.034,0.032,0.031,0.028,0.057
153,Lynn,0.038,0.04,0.038,0.033,0.03,0.054
154,McCulloch,0.046,0.045,0.036,0.033,0.052,0.075
155,McLennan,0.057,0.04,0.039,0.036,0.033,0.062
156,McMullen,0.032,0.021,0.019,0.02,0.016,0.028
157,Madison,0.033,0.051,0.048,0.044,0.042,0.072
158,Marion,0.072,0.07,0.057,0.045,0.042,0.082
159,Martin,0.093,0.044,0.032,0.025,0.026,0.061
160,Mason,0.036,0.036,0.034,0.031,0.032,0.056
161,Matagorda,0.038,0.073,0.073,0.062,0.057,0.105
162,Maverick,0.019,0.113,0.094,0.082,0.076,0.15
163,Medina,0.038,0.044,0.039,0.035,0.032,0.063
164,Menard,0.048,0.045,0.048,0.041,0.035,0.052
165,Midland,0.03,0.044,0.03,0.021,0.021,0.081
166,Milam,0.05,0.052,0.051,0.055,0.05,0.071
167,Mills,0.035,0.042,0.036,0.035,0.032,0.041
168,Mitchell,0.055,0.07,0.055,0.042,0.037,0.079
169,Montague,0.04,0.05,0.04,0.032,0.029,0.066
170,Montgomery,0.043,0.049,0.044,0.038,0.034,0.075
171,Moore,0.029,0.03,0.029,0.027,0.023,0.038
172,Morris,0.086,0.109,0.087,0.066,0.053,0.114
173,Motley,0.037,0.035,0.036,0.037,0.034,0.046
174,Nacogdoches,0.043,0.047,0.043,0.039,0.037,0.066
175,Navarro,0.039,0.042,0.04,0.037,0.033,0.062
176,Newton,0.079,0.079,0.08,0.067,0.063,0.11
177,Nolan,0.041,0.048,0.041,0.033,0.029,0.053
178,Nueces,0.054,0.056,0.054,0.047,0.041,0.09
179,Ochiltree,0.037,0.053,0.036,0.028,0.027,0.058
180,Oldham,0.025,0.03,0.025,0.026,0.029,0.039
181,Orange,0.069,0.067,0.07,0.058,0.051,0.105
182,Palo Pinto,0.041,0.055,0.041,0.034,0.031,0.07
183,Panola,0.055,0.072,0.055,0.042,0.04,0.084
184,Parker,0.035,0.041,0.035,0.031,0.029,0.059
185,Parmer,0.025,0.025,0.025,0.024,0.022,0.026
186,Pecos,0.045,0.059,0.047,0.037,0.033,0.081
187,Polk,0.06,0.063,0.061,0.051,0.048,0.087
188,Potter,0.032,0.034,0.032,0.029,0.027,0.055
189,Presidio,0.094,0.107,0.095,0.07,0.064,0.147
190,Rains,0.035,0.04,0.036,0.035,0.03,0.047
191,Randall,0.028,0.03,0.028,0.026,0.024,0.045
192,Reagan,0.038,0.062,0.038,0.025,0.026,0.097
193,Real,0.057,0.057,0.057,0.051,0.04,0.067
194,Red River,0.052,0.058,0.053,0.054,0.046,0.064
195,Reeves,0.035,0.053,0.036,0.021,0.018,0.071
196,Refugio,0.058,0.066,0.056,0.046,0.037,0.082
197,Roberts,0.037,0.045,0.039,0.028,0.029,0.046
198,Robertson,0.047,0.051,0.048,0.042,0.036,0.064
199,Rockwall,0.033,0.035,0.034,0.032,0.031,0.06
200,Runnels,0.038,0.04,0.037,0.031,0.028,0.049
201,Rusk,0.051,0.058,0.051,0.041,0.036,0.073
202,Sabine,0.086,0.094,0.086,0.08,0.066,0.108
203,San Augustine,0.075,0.089,0.075,0.065,0.047,0.096
204,San Jacinto,0.056,0.063,0.057,0.05,0.046,0.081
205,San Patricio,0.076,0.075,0.077,0.064,0.055,0.103
206,San Saba,0.032,0.034,0.032,0.031,0.029,0.052
207,Schleicher,0.037,0.052,0.037,0.028,0.028,0.069
208,Scurry,0.044,0.059,0.044,0.034,0.032,0.082
209,Shackelford,0.03,0.038,0.03,0.023,0.022,0.053
210,Shelby,0.051,0.06,0.052,0.043,0.039,0.068
211,Sherman,0.031,0.03,0.031,0.026,0.023,0.031
212,Smith,0.041,0.045,0.041,0.037,0.033,0.068
213,Somervell,0.045,0.048,0.046,0.041,0.036,0.065
214,Starr,0.117,0.134,0.118,0.102,0.099,0.173
215,Stephens,0.047,0.053,0.046,0.036,0.03,0.061
216,Sterling,0.038,0.039,0.037,0.034,0.031,0.064
217,Stonewall,0.034,0.044,0.036,0.034,0.029,0.05
218,Sutton,0.051,0.08,0.051,0.038,0.037,0.098
219,Swisher,0.041,0.043,0.041,0.043,0.036,0.052
220,Tarrant,0.037,0.04,0.037,0.035,0.033,0.073
221,Taylor,0.035,0.037,0.036,0.032,0.029,0.055
222,Terrell,0.049,0.042,0.048,0.034,0.034,0.046
223,Terry,0.05,0.048,0.051,0.041,0.036,0.073
224,Throckmorton,0.043,0.035,0.043,0.033,0.037,0.049
225,Titus,0.053,0.062,0.054,0.051,0.041,0.067
226,Tom Green,0.037,0.045,0.037,0.032,0.03,0.063
227,Travis,0.03,0.032,0.031,0.029,0.026,0.063
228,Trinity,0.055,0.061,0.056,0.052,0.048,0.081
229,Tyler,0.073,0.073,0.074,0.066,0.057,0.099
230,Upshur,0.052,0.064,0.053,0.042,0.037,0.077
231,Upton,0.038,0.053,0.037,0.034,0.03,0.056
232,Uvalde,0.047,0.053,0.047,0.043,0.038,0.064
233,Val Verde,0.051,0.063,0.051,0.039,0.033,0.079
234,Van Zandt,0.037,0.043,0.038,0.035,0.033,0.061
235,Victoria,0.048,0.054,0.049,0.039,0.035,0.083
236,Walker,0.046,0.053,0.047,0.042,0.039,0.072
237,Waller,0.049,0.056,0.049,0.043,0.037,0.078
238,Ward,0.041,0.057,0.041,0.026,0.024,0.094
239,Washington,0.042,0.051,0.042,0.036,0.034,0.056
240,Webb,0.042,0.049,0.042,0.038,0.037,0.085
241,Wharton,0.045,0.05,0.045,0.037,0.034,0.068
242,Wheeler,0.041,0.048,0.04,0.032,0.03,0.06
243,Wichita,0.037,0.044,0.037,0.034,0.032,0.067
244,Wilbarger,0.047,0.047,0.047,0.042,0.036,0.059
245,Willacy,0.11,0.123,0.111,0.099,0.082,0.12
246,Williamson,0.032,0.034,0.033,0.031,0.028,0.059
247,Wilson,0.035,0.039,0.035,0.031,0.028,0.057
248,Winkler,0.052,0.077,0.052,0.029,0.029,0.093
249,Wise,0.04,0.047,0.04,0.035,0.032,0.065
250,Wood,0.047,0.053,0.047,0.043,0.039,0.066
251,Yoakum,0.035,0.048,0.036,0.029,0.029,0.119
252,Young,0.038,0.044,0.038,0.032,0.03,0.053
253,Zapata,0.073,0.108,0.075,0.056,0.05,0.124
254,Zavala,0.111,0.139,0.113,0.097,0.084,0.141
